id,outcode,latitude,longitude
641,DN5,53.557811,-1.216272
642,DN55,53.512922,-1.125721
643,DN6,53.594658,-1.176678
644,DN7,53.573751,-1.030587
645,DN8,53.610811,-0.927518
646,DN9,53.517186,-0.940873
647,DT1,50.710347,-2.451300
648,DT10,50.937,-2.333
649,DT11,50.86,-2.181
650,DT2,50.749,-2.453
651,DT3,50.641,-2.466
652,DT4,50.6055,-2.468860
653,DT5,50.548,-2.441
654,DT6,50.739,-2.775
655,DT7,50.729,-2.946
656,DT8,50.816,-2.758
657,DT9,50.941,-2.515
658,DY1,52.517257,-2.093950
659,DY10,52.374841,-2.194016
660,DY11,52.382557,-2.258012
661,DY12,52.382574,-2.343756
662,DY13,52.324178,-2.283647
663,DY14,52.383725,-2.419712
664,DY2,52.492336,-2.085178
665,DY3,52.527922,-2.166603
666,DY4,52.5328,-2.054678
667,DY5,52.485945,-2.121581
668,DY6,52.496759,-2.173682
669,DY7,52.480567,-2.226850
670,DY8,52.45348,-2.157326
671,DY9,52.414482,-2.114541
672,E1,51.514997,-0.058707
673,E10,51.566937,-0.020580
674,E11,51.570225,0.016903
675,E12,51.55312,0.049956
676,E13,51.526833,0.025686
677,E14,51.502526,-0.017603
678,E15,51.538668,-0.000002
679,E16,51.511717,0.008797
680,E17,51.586008,-0.018380
681,E18,51.592584,0.025743
682,E1W,51.508,-0.058
683,E2,51.529447,-0.060197
684,E3,51.528805,-0.022753
685,E4,51.634048,-0.005886
686,E5,51.56232,-0.052916
687,E6,51.525507,0.057241
688,E7,51.547208,0.027899
689,E77,51.513948,-0.069129
690,E8,51.543908,-0.066085
691,E9,51.543915,-0.041110
692,E98,51.513678,-0.060885
693,EC1,51.52416,-0.096177
694,EC1A,51.52,-0.103
695,EC1M,51.520874,-0.104983
696,EC1N,51.52,-0.108
697,EC1P,51.524503,-0.112088
698,EC1R,51.525471,-0.107929
699,EC1V,51.527448,-0.095442
700,EC1Y,51.523,-0.093
701,EC2,51.520232,-0.094691
702,EC2A,51.523,-0.085
703,EC2M,51.518,-0.086
704,EC2N,51.519565,-0.096894
705,EC2P,51.520231,-0.09616
706,EC2R,51.517,-0.092
707,EC2V,51.516,-0.093
708,EC2Y,51.520875,-0.099838
709,EC3,51.516282,-0.091746
710,EC3A,51.515,-0.081
711,EC3M,51.512,-0.083
712,EC3N,51.513,-0.079
713,EC3P,51.52,-0.101
714,EC3R,51.512,-0.085
715,EC3V,51.517594,-0.097625
716,EC4,51.516936,-0.099089
717,EC4A,51.516,-0.107
718,EC4M,51.515,-0.1
719,EC4N,51.517592,-0.099089
720,EC4P,51.524503,-0.112088
721,EC4R,51.512,-0.091
722,EC4V,51.513,-0.1
723,EC4Y,51.514,-0.107
724,EC50,51.524503,-0.112088
725,EH1,55.95246,-3.193287
726,EH10,55.911085,-3.209224
727,EH11,55.931822,-3.259573
728,EH12,55.938025,-3.289028
729,EH13,55.914516,-3.250549
730,EH14,55.890045,-3.313271
731,EH15,55.949294,-3.114640
732,EH16,55.920213,-3.147799
733,EH17,55.907,-3.142
734,EH18,55.877368,-3.125490
735,EH19,55.869098,-3.098223
736,EH2,55.954426,-3.194280
737,EH20,55.880631,-3.141154
738,EH21,55.939,-3.045
739,EH22,55.892311,-3.043981
740,EH23,55.825999,-3.071295
741,EH24,55.851,-3.133
742,EH25,55.849896,-3.188347
743,EH26,55.833,-3.224
744,EH27,55.89,-3.422
745,EH28,55.914962,-3.488545
746,EH29,55.958629,-3.325925
747,EH3,55.95544,-3.199752
748,EH30,55.977132,-3.343232
749,EH31,56.044746,-2.782370
750,EH32,55.98128,-2.922538
751,EH33,55.939938,-2.924859
752,EH34,55.909708,-2.888197
753,EH35,55.911,-2.942
754,EH36,55.856,-2.851
755,EH37,55.862,-2.96
756,EH38,55.786,-2.96
757,EH39,56.022239,-2.729134
758,EH4,55.964883,-3.266006
759,EH40,55.99,-2.655
760,EH41,55.948,-2.774
761,EH42,55.986639,-2.529941
762,EH43,55.624,-3.01
763,EH44,55.630819,-3.117536
764,EH45,55.655,-3.191
765,EH46,55.737,-3.35
766,EH47,55.8487,-3.657962
767,EH48,55.904639,-3.683060
768,EH49,55.976,-3.598
769,EH5,55.973644,-3.216067
770,EH51,56.011,-3.605
771,EH52,55.935884,-3.533657
772,EH53,55.894,-3.476
773,EH54,55.887069,-3.531673
774,EH55,55.827129,-3.586158
775,EH6,55.974212,-3.169940
776,EH7,55.961516,-3.160533
777,EH8,55.948574,-3.157292
778,EH9,55.93123,-3.185591
779,EH91,55.923228,-3.305118
780,EH95,55.978621,-3.25352
781,EH99,55.955591,-3.17611
782,EN1,51.65707,-0.064145
783,EN10,51.737466,-0.038469
784,EN11,51.765161,-0.020712
785,EN2,51.66756,-0.104104
786,EN3,51.659716,-0.043503
787,EN4,51.654983,-0.162440
788,EN5,51.657535,-0.212605
789,EN6,51.703122,-0.182729
790,EN7,51.707789,-0.068741
791,EN8,51.699894,-0.034704
792,EN9,51.705839,0.019222
793,EX1,50.735387,-3.495332
794,EX10,50.716999,-3.258028
795,EX11,50.742373,-3.291821
796,EX12,50.711479,-3.101514
797,EX13,50.79597,-3.005628
798,EX14,50.833567,-3.182384
799,EX15,50.867547,-3.312843
800,EX16,50.939876,-3.513306
801,EX17,50.836527,-3.728982
802,EX18,50.89332,-3.900604
803,EX19,50.890882,-4.009567
804,EX2,50.698819,-3.526343
805,EX20,50.772251,-4.047948
806,EX21,50.799841,-4.215507
807,EX22,50.834593,-4.377198
808,EX23,50.811782,-4.544738
809,EX24,50.740181,-3.118285
810,EX3,50.695845,-3.454003
811,EX31,51.091432,-4.019402
812,EX32,51.070289,-3.957099
813,EX33,51.116494,-4.149066
814,EX34,51.185742,-4.097032
815,EX35,51.219583,-3.797174
816,EX36,51.021587,-3.767475
817,EX37,50.979092,-3.939565
818,EX38,50.938861,-4.147522
819,EX39,51.039546,-4.386887
820,EX4,50.741851,-3.552241
821,EX5,50.764172,-3.464934
822,EX6,50.677,-3.597
823,EX7,50.592,-3.473
824,EX8,50.629,-3.401
825,EX9,50.639,-3.323
826,FK1,55.944042,-3.808719
827,FK10,56.115,-3.781
828,FK11,56.15,-3.85
829,FK12,56.135235,-3.800051
830,FK13,56.151,-3.74
831,FK14,56.166,-3.66
832,FK15,56.203,-3.949
833,FK16,56.191,-4.059
834,FK17,56.24,-4.219
835,FK18,56.325,-4.328
836,FK19,56.371,-4.313
837,FK2,56.018196,-3.760685
838,FK20,56.406,-4.63
839,FK21,56.466,-4.319
840,FK3,56.013813,-3.714347
841,FK4,55.997,-3.906
842,FK5,56.025,-3.818
843,FK6,56.022,-3.915
844,FK7,56.097,-3.917
845,FK8,56.131,-4.051
846,FK9,56.142,-3.94
847,FY0,53.754603,-3.00801
848,FY1,53.815688,-3.043205
849,FY2,53.845,-3.039
850,FY3,53.821,-3.021
851,FY4,53.791,-3.028
852,FY5,53.874,-3.021
853,FY6,53.868,-2.981
854,FY7,53.916,-3.026
855,FY8,53.755768,-2.989812
856,G1,55.860728,-4.250792
857,G11,55.875426,-4.286260
