2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Soleil d’Or	Indoor	-	£/bunch(2)	0.25	0.23	0.25	0.19								
Tulips	Indoor	-	£/bunch(4)	0.62	0.57	0.59	0.45	0.40					0.75	0.61	0.69
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	1.37	1.03	1.02	1.05	1.14	0.91	0.96	0.97	1.01	0.99	1.05	1.12
Cyclamen	13cm	-	£ each	0.91	0.78	1.64					1.00	1.24	1.14	1.20	1.24
Poinsettia	13cm	-	£ each											1.87	2.12
Chrysanthemum	9cm	-	£ each									1.00			
	13 cm	-	£ each	1.02	0.91	1.06	1.07	1.08	0.94	0.93	0.92	0.95	0.96	1.02	1.05
2005		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg							3.74	4.50	4.11	9.33		
Blackcurrants	All Varieties	-	£/kg							3.63	2.21				
Cherries	Sweet Black	1st	£/kg						1.67	1.69					
	Sweet Black	2nd	£/kg						1.16	1.00					
	Sweet Black	Ave	£/kg						1.55	1.56					
	Sweet White	1st	£/kg						1.54	1.23					
	Sweet White	2nd	£/kg						0.83	0.93					
	Sweet White	Ave	£/kg						1.45	1.19					
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.51	0.50	0.53	0.58	0.59	0.54	0.55	0.58	0.49	0.48	0.50	0.53
	Bramley’s Seedling	2nd	£/kg	0.36	0.33	0.32	0.36	0.39	0.36	0.37	0.41	0.31	0.31	0.32	0.34
	Bramley’s Seedling	Ave	£/kg	0.46	0.44	0.42	0.46	0.47	0.43	0.46	0.53	0.45	0.44	0.45	0.49
Damsons	All Varieties	1st	£/kg							1.43	1.04	0.89			
	All Varieties	2nd	£/kg								0.80	0.66			
	All Varieties	Ave	£/kg								0.99	0.87			
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.56	0.59	0.53	0.48				0.75	0.62	0.48	0.51	0.57
	Cox’s Orange-group	2nd	£/kg	0.32	0.33	0.30	0.27					0.44	0.34	0.33	0.38
	Cox’s Orange-group	Ave	£/kg	0.49	0.53	0.40	0.30					0.57	0.45	0.47	0.52
	Discovery	1st	£/kg							0.83	0.48	0.38			
	Discovery	2nd	£/kg								0.32	0.25			
	Discovery	Ave	£/kg								0.45	0.30			
