ALPHAIND,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,NFTYPE,TABKS2,PTPRIORLO,PTPRIORAV,PTPRIORHI,ATT8SCR,ATT8SCRENG,ATT8SCRMAT,ATT8SCREBAC,ATT8SCROPENG,PTL2BASICS_LL_PTQ_EE,PTL2BASICS_3YR_PTQ_EE,ATT8SCR_LO,ATT8SCR_AV,ATT8SCR_HI,ATT8SCR_15,PTEBACC_15_PTQ_EE,PTAC5EM_PTQ_EE
45730,801,4602,137627,St Bede's Catholic College, ,ACC,0,7%,47%,46%,56.5,12.1,10.5,16.6,16.6,73%,75%,33.3,52.6,64,NA,38%,66%
45874,801,4801,109331,St Bernadette Catholic Secondary School, ,VA,0,14%,57%,29%,48.8,11,8.8,13.7,14,56%,60%,29.5,46.8,61.5,NA,9%,53%
49168,801,4603,109327,St Mary Redcliffe and Temple School, ,VA,0,9%,41%,50%,56.3,11.8,10.7,16.6,17.1,75%,73%,25.3,51.7,65.7,NA,25%,72%
55476,801,4006,141108,Steiner Academy Bristol, ,F,1, , , , , , , , , , , , , ,NA,NA, 
3234,802,4129,136722,Backwell School, ,ACC,0,11%,45%,44%,54.6,11.4,11.2,15.8,15.6,76%,78%,27.4,50,66.3,NA,44%,72%
7742,802,4142,137840,Broadoak Mathematics and Computing College, ,ACC,0,15%,57%,28%,47.6,10.4,9.5,12.9,14.1,56%,48%,27.1,45.9,62.8,NA,18%,51%
11718,802,4139,137000,Churchill Academy, ,ACC,0,12%,52%,36%,53.2,11.8,9.8,14.4,16,68%,67%,28.1,50.5,65,NA,27%,61%
12098,802,4136,137884,Clevedon School, ,ACC,0,13%,55%,31%,51.9,10.7,10.4,14.6,14.9,69%,61%,32.4,49.9,64.5,NA,22%,58%
20528,802,4135,136856,Gordano School, ,ACC,0,10%,49%,40%,56.2,11.7,11.3,15.5,15.9,79%,72%,33.2,52.7,67.7,NA,25%,73%
22430,802,4145,136708,Hans Price Academy, ,AC,0,27%,61%,12%,42.7,9.5,8.5,10,10.3,46%,46%,31.7,44.6,59.8,NA,4%,41%
35550,802,4137,138466,Nailsea School, ,ACC,0,16%,42%,42%,48.2,10.9,9.9,12.8,13.4,65%,59%,24.6,42.5,62.7,NA,24%,56%
36978,802,4000,141040,North Somerset Enterprise and Technology College, ,F,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,SUPP
