LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
309,4704,139363,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
309,4705,139616,80,48,26,79.1,43.7,23.7,13,40863
309,6905,133386,93,17,29,92.9,14.8,27.5,11.9,45166
310,1102,139925,14,4,9,12.7,3.1,6.3,NA,38650
310,2001,140657,31,27,22,27,17.2,15.3,17.7,41817
310,2045,102181,16,17,6,15.2,10,4.8,19.6,33221
310,2049,141071,24,27,12,22.2,18.3,7.8,25.1,38245
310,2050,102185,33,22,9,26.4,13.7,7,17.4,37265
310,2051,102186,31,27,6,29.2,17.1,5,21.2,37753
310,2052,102187,28,9,13,24.6,4.4,6.7,20.8,39832
310,2053,102188,21,21,7,19.3,14,5.9,19.7,38480
310,2055,102189,31,18,18,29.8,12.1,14.5,18.8,39039
310,2059,102193,27,11,6,21.7,6,4.4,19.3,40044
310,2060,102194,24,18,6,22.6,9.2,4,18.6,39033
310,2061,102195,40,36,13,38.8,26.4,11.2,18.6,36334
310,2063,102197,20,21,6,18.5,12.8,4.4,19.6,40185
310,2066,102199,35,44,13,33,28.4,9.6,22.5,37963
310,2071,102202,33,32,9,30.6,21.8,8.2,19.9,35140
310,2072,141054,31,32,16,29.1,20.7,13.1,22.5,40447
310,2073,102204,36,22,10,32.4,13.5,7.1,22,37293
310,2076,102207,23,21,6,18.8,9.7,5.4,20.5,39966
310,2079,102209,20,13,11,18.1,10.9,10.4,18.7,40195
310,2082,102211,44,55,22,39.5,31,17.1,18.6,40101
310,2083,102212,19,18,5,15.9,12.2,3.5,21.5,39957
310,2084,102213,32,42,8,28.7,25,6.3,21.1,40910
310,2085,102214,40,44,20,36,20.1,9.3,21.5,36392
310,2086,102215,34,36,16,30.6,22.2,11,22,40079
310,2087,102216,39,38,7,33.1,21.6,4.6,19.3,39972
310,2092,102219,28,29,5,23.7,16.1,4.2,16.8,37870
310,2093,102220,29,29,11,26,20.7,7.4,20.6,35802
310,2096,102222,36,19,13,32.4,13,10.7,18.4,35748
310,2097,102223,30,32,9,26.5,18.4,6.1,21.4,40023
310,2098,102224,35,33,8,31.3,19.5,6.4,20.1,37102
310,2101,131316,37,28,10,34.4,18.9,8.4,20.8,37514
310,3500,102229,24,21,4,20.9,13.3,3.1,20.3,39146
310,3501,102230,25,20,8,20.4,10.5,3.6,20.6,35866
310,3504,102231,21,17,7,19.8,10.6,5.7,22.5,42470
310,3505,102232,30,21,10,25.2,12.1,7,19.3,39370
310,3507,102233,22,26,4,17.4,12.8,2.8,24.3,40682
310,3508,102234,24,22,11,20.9,8.3,8.2,22.1,38095
310,3509,131229,17,7,9,14.1,4.2,5.4,15.3,33442
310,3511,134929,23,21,6,21.3,11.7,4,19.7,39276
310,3512,131577,26,28,12,23.2,18.7,9.8,24.6,38494
310,3513,138688,14,13,4,12.8,11.5,3.9,24.8,36481
310,3514,135211,39,45,9,37.1,29.8,8,16.5,38795
310,4000,138227,38,12,14,37.2,11.4,14,19,38213
310,4020,137204,111,24,53,106.1,16.8,45.8,14.1,38052
310,4021,137075,110,17,38,102.2,13.5,30.2,15.3,41066
310,4022,137199,75,25,27,72,16.7,22.7,15.1,42890
310,4024,137028,130,32,61,121.1,21.3,38.3,15.5,40508
310,4026,102239,125,52,32,117.5,35.8,25,14.2,36220
310,4027,137198,79,30,41,72.5,22.2,29.1,15.1,43474
310,4032,137178,91,22,20,84.8,16.8,17.6,12.8,40288
310,4033,137177,62,13,24,58,9.7,18.7,14.6,41708
310,4700,102243,51,17,13,47.1,12.4,9.3,15.6,44941
310,5400,138458,40,13,12,38.7,9.4,10.7,15.4,41319
311,2000,139406,19,13,4,17.3,5.1,2.6,20.3,39153
311,2003,102268,21,15,4,16.3,10.6,3,20.4,39565
311,2004,140022,10,16,2,10,11.6,0.8,28.6,35449
311,2005,102269,27,27,4,24.2,17.8,3.5,20.6,39273
311,2006,102270,21,15,3,16.9,7.8,2.2,21.5,40347
311,2007,102271,14,16,3,12,8.6,1.8,22.5,40956
311,2008,102272,21,19,6,18.4,15.7,5.2,19.1,38418
311,2009,102273,23,16,5,18.1,10.5,3.7,22,37634
311,2012,140818,12,13,3,10.9,8.8,2.6,21.2,34890
311,2014,102276,25,34,8,20.6,20.8,4.6,21.7,38591
311,2015,102277,29,37,8,25,12.2,7.6,15.8,37380
311,2016,141173,15,17,5,13,8.7,2.6,20.8,40307
311,2017,102278,21,25,4,18.2,13.3,3.9,21.4,37884
311,2019,102280,14,18,5,11.1,10.6,3.6,21.1,37843
311,2020,141549,3,3,1,3,2.7,1,12,SUPP
311,2022,102281,17,7,5,14.6,4.1,3.5,20.3,37481
311,2023,102282,11,11,7,10.4,7.7,4,24.9,42986
311,2024,102283,16,10,3,14.2,7,3,17,37767
311,2025,102284,15,7,3,14,5.2,2.9,17.6,36546
311,2026,102285,9,9,2,8.4,5.4,1.9,21.2,42118
311,2036,102289,13,16,6,10.4,12.7,5.2,20.1,42762
311,2038,102291,39,46,9,33.6,25.1,7.1,19.9,36487
311,2041,102294,22,15,7,18.3,8.7,3.7,19.6,38554
311,2042,102295,14,17,6,13,10.4,5.1,23,41452
311,2055,102299,22,8,4,20.8,6.9,4,22.8,38868
311,2056,102300,19,29,4,17.2,16.9,2.7,24.2,41147
311,2060,141299,15,18,4,11.4,9.1,2.1,22.8,40581
311,2061,102303,22,17,3,17.1,10.2,2.7,20,39514
311,2062,102304,16,17,5,13.1,10.4,3.1,22.6,38702
311,2066,138944,20,13,6,17.1,8.2,4.6,21,37586
311,2067,138943,13,13,6,11.8,6.1,2.9,22.7,43309
311,2069,102308,22,22,4,19.4,14.9,2.9,21.6,40466
311,2070,102309,14,21,4,11.6,12.1,3,23.2,42088
311,2073,102312,29,28,8,29,17.3,6.9,18.6,38115
311,2076,102313,16,16,4,12.7,7.5,2.2,20.7,36001
311,2078,102314,9,16,3,8.3,10.3,3,25,40324
311,2080,102316,13,15,2,11.6,10,1.8,23.2,38055
311,2081,102317,24,26,8,23,21.4,7.4,20.7,36013
311,2084,102319,25,42,5,20.6,23.8,3.4,18,38383
311,2085,141577,30,37,6,27.2,26.6,5.9,17.5,36872
311,2086,102321,22,47,4,18.9,18.5,2.9,23.8,41126
311,2087,102322,33,38,10,31.6,27.2,9.6,19.7,38629
311,2089,102324,30,27,6,26.3,19,5,17.5,39382
311,2090,102325,40,71,14,36.5,32.1,11.1,18.5,39092
311,2092,131426,19,28,6,18,16.5,5.2,20.3,39177
311,2093,131590,12,42,11,11.2,30.5,8.5,23.6,38843
311,2094,132766,31,21,12,28,14.4,7,22.4,38061
311,2096,131787,23,26,7,20.8,16.7,6.9,23.2,39120
311,2097,135812,30,38,10,28.7,28.8,9.8,23.2,35144
311,3000,102327,7,7,2,6.3,6.4,1.4,16.5,37720
311,3301,102328,33,36,8,28.8,24.5,7,22.5,38852
311,3501,102329,21,18,4,18.4,11.2,3.6,22.8,38995
311,3502,102330,10,10,2,9.6,6.3,1.7,21.3,37778
311,3503,102331,21,34,4,19.1,13,2.1,19.6,38505
