ALPHAIND	LEA	ESTAB	URN	SCHNAME	SCHNAME_AC	NFTYPE	TABKS2	PTPRIORLO	PTPRIORAV	PTPRIORHI	PTL2BASICS_LL_PTQ_EE	PTEBACC_15_PTQ_EE	PTL2BASICS_3YR_PTQ_EE	PTAC5EM_PTQ_EE	ATT8SCR	ATT8SCRENG	ATT8SCRMAT	ATT8SCREBAC	ATT8SCROPENG	ATT8SCR_LO	ATT8SCR_AV	ATT8SCR_HI	ATT8SCR_15
13034	893	5401	137336	The Corbet School Technology College	 	ACC	0	0.09	0.53	0.38	0.72	0.32	0.69	0.68	53.6	11.1	10.4	16.3	13.9	44	48.9	64.2	NA
16956	893	6001	123600	Ellesmere College	 	IND	0	NP	NP	NP	0.0	0.0	0.18	0.0	27.9	0	10.3	7.9	9.7	NP	NP	NP	NA
21786	893	4423	123580	The Grove School	 	FD	0	0.23	0.56	0.2	0.47	0.18	0.51	0.42	46.5	10.1	8.8	12.8	12.3	32.9	46.8	61.8	NA
26636	893	4394	140922	Idsall School	 	ACC	0	0.07	0.6	0.33	0.65	0.14	0.62	0.61	52.1	10.6	10.3	15	11.5	31	49.1	61.7	NA
29374	893	4412	141451	The Lacon Childe School	 	ACC	0	0.12	0.63	0.25	0.73	0.21	0.62	0.69	52.7	11.1	10.2	15.7	14.8	35.5	51.5	63.1	NA
29494	893	4387	139102	Lakelands Academy	 	ACC	0	0.16	0.52	0.32	0.64	0.25	0.62	0.56	47.9	10.4	10	12.7	12.3	31.7	44.5	60.5	NA
31938	893	4501	123587	Ludlow Church of England School	 	VC	0	0.26	0.49	0.25	0.58	0.24	0.59	0.51	48.2	10.1	9.7	13.7	14.4	32.6	48.4	63	NA
32862	893	4437	136979	The Marches School	 	ACC	0	0.17	0.55	0.28	0.61	0.25	0.59	0.58	49.6	10.8	9.4	13.4	13.7	29.1	48.7	64.7	NA
33262	893	4410	123577	Mary Webb School and Science College	 	CY	0	0.11	0.51	0.38	0.72	0.2	0.65	0.64	55.9	11.6	10.9	16.5	14.6	30.5	53.3	67.3	NA
33806	893	4403	123573	Meole Brace School	 	CY	0	0.11	0.51	0.38	0.66	0.3	0.64	0.55	52.2	10.5	10.1	15.6	12.9	33.5	48	62.8	NA
35030	893	6005	123604	Moreton Hall School	 	IND	0	NP	NP	NP	0.93	0.71	0.92	0.93	70.1	14	13.2	21.6	20.9	NP	NP	NP	NA
38264	893	4427	142153	Oldbury Wells School	 	ACC	0	0.21	0.52	0.27	0.58	0.28	0.62	0.55	51.7	10.8	10	15.3	14.8	35.5	50.9	65.5	NA
38742	893	6011	123613	Oswestry School	 	IND	0	NP	NP	NP	0.37	0.14	0.42	0.29	32.7	5.1	7.5	11.1	8.9	NP	NP	NP	NA
41626	893	4368	138216	The Priory School, A Business and Enterprise College	 	ACC	0	0.08	0.39	0.53	0.75	0.24	0.77	0.7	57.1	12.1	11	16.2	16.8	29.6	51.8	65.3	NA
49060	893	4002	143142	St Martins School (3-16 Learning Community)	 	AC	1								 	 	 	 	 	 	 	 	 
53420	893	4003	143401	Shrewsbury Academy	 	ACC	0								 	 	 	 	 	 	 	 	 
53428	893	6018	123620	Shrewsbury High School	 	IND	0	NP	NP	NP	0.84	0.0	0.91	0.81	60.6	12.4	11.3	17.7	15.3	NP	NP	NP	NA
53434	893	6009	123608	Shrewsbury School	 	IND	0	NP	NP	NP	0.01	0.0	0.0	0.0	31.3	7.2	0.2	16.4	6	NP	NP	NP	NA
53722	893	4001	141176	Sir John Talbot's Technology College	 	AC	0	0.18	0.63	0.19	0.54	0.09	0.54	0.51	45.9	9.6	9.6	11.2	13.1	25.7	47.3	64.1	NA
57240	893	4503	123589	The Thomas Adams School, Wem	 	VC	0	0.12	0.51	0.37	0.71	0.35	0.64	0.63	53.1	10.7	10.7	15	15.2	32.5	50.7	62.8	NA
62204	893	4391	139769	William Brookes School	 	ACC	0	0.11	0.53	0.37	0.73	0.33	0.63	0.71	53.9	11.4	10.4	15.4	14.8	30.5	51.7	64.4	NA
274	894	6906	135582	Abraham Darby Academy	 	AC	0	0.19	0.59	0.23	0.45	0.22	0.51	0.41	46.4	9.6	8.5	12.3	7.6	32.1	46.3	59.3	NA
460	894	5400	137446	Adams' Grammar School	 	ACC	0	0.0	0.01	0.99	0.99	SUPP	0.99	0.97	68.6	13.2	14.2	21.1	20.1	NE	SUPP	68.6	70.8
8762	894	4405	123574	The Burton Borough School	 	CY	0	0.11	0.55	0.35	0.64	0.11	0.58	0.59	50.5	10.7	9.7	13.8	13	29.6	46.8	62.1	NA
10610	894	5404	123597	Charlton School	 	FD	0	0.15	0.56	0.28	0.54	0.28	0.56	0.48	48.6	9.9	9.7	14	13.8	29.8	47.5	61.1	NA
17474	894	5402	123595	Ercall Wood Technology College	 	FD	0	0.35	0.48	0.17	0.4	0.22	0.45	0.31	44.8	8.9	8.4	11.7	9.7	31.4	47	64.7	NA
21982	894	4439	133708	Hadley Learning Community - Secondary Phase	 	CY	0	0.27	0.58	0.15	0.58	0.14	0.53	0.52	52.3	10.3	9.8	14	6.7	41.8	54.1	65.7	NA
